Time,Load Cell,Moving Forward
2853059.0,0.00929627,0.0
2853137.0,0.00045841,0.0
2853215.0,0.00609636,0.0
2853293.0,0.00086474,0.0
2853371.0,-0.02519198,0.0
2853449.0,-0.01284933,0.0
2853528.0,-0.00380819,0.0
2853606.0,0.01188681,0.0
2853684.0,-0.00543364,0.0
2853762.0,-0.00964933,0.0
2853840.0,0.00558843,0.0
2853918.0,-0.00705895,0.0
2853996.0,0.02605796,0.0
2854074.0,0.01269939,0.0
2854153.0,0.00462342,0.0
2854231.0,0.00360757,0.0
2854309.0,-0.00060828,0.0
2854387.0,0.0014235,0.0
2854465.0,-0.02575066,0.0
2854543.0,0.0239755,0.0
2854621.0,0.00589316,0.0
2854699.0,0.00670596,0.0
2854777.0,-0.01229056,0.0
2854855.0,0.00736624,0.0
2854934.0,-0.01945236,0.0
2855012.0,-0.00060828,0.0
2855090.0,0.01595022,0.0
2855168.0,0.0047757,0.0
2855246.0,0.00289644,0.0
2855324.0,-0.00995413,0.0
2855402.0,-0.01676037,0.0
2855480.0,-0.00116704,0.0
2855559.0,0.01574701,0.0
2855637.0,0.00670596,0.0
2855715.0,0.01625494,0.0
2855793.0,-0.00319867,0.0
2855871.0,-0.0100049,0.0
2855949.0,0.02148671,0.0
2856027.0,0.00299812,0.0
2856105.0,-0.02107773,0.0
2856184.0,-0.02199198,0.0
2856262.0,0.00309964,0.0
2856340.0,-0.00152253,0.0
2856418.0,-0.00482404,0.0
2856496.0,0.01838832,0.0
2856574.0,0.00452189,0.0
2856652.0,0.00533447,0.0
2856730.0,0.00462342,0.0
2856808.0,-0.00563669,0.0
2856887.0,0.0010171,0.0
2856965.0,-0.00421459,0.0
2857043.0,-0.01091915,0.0
2857121.0,-0.00751603,0.0
2857199.0,0.01615334,0.0
2857277.0,0.00741693,0.0
2857355.0,0.0036584,0.0
2857433.0,0.00249011,0.0
2857511.0,-0.01259536,0.0
2857590.0,-0.00228434,0.0
2857668.0,0.00939787,0.0
2857746.0,-0.00157329,0.0
2857824.0,-0.00716047,0.0
2857902.0,-0.00045584,0.0
2857980.0,-0.01401754,0.0
2858058.0,-0.00324958,0.0
2858136.0,-0.0027415,0.0
2858215.0,0.00447098,0.0
2858293.0,-0.00995413,0.0
2858371.0,0.00980435,0.0
2858449.0,-0.00695742,0.0
2858527.0,0.02052154,0.0
2858605.0,0.00802653,0.0
2858683.0,0.01056616,0.0
2858761.0,-0.00045584,0.0
2858839.0,0.00061078,0.0
2858917.0,0.00431869,0.0
2858996.0,-0.00076056,0.0
2859074.0,-0.00126856,0.0
2859152.0,0.00111878,0.0
2859230.0,0.00010285,0.0
2859308.0,0.01975966,0.0
2859386.0,-0.0097001,0.0
2859464.0,-0.01376358,0.0
2859542.0,-0.03936313,0.0
2859621.0,0.00025529,0.0
2859699.0,0.00162663,0.0
2859777.0,-0.00548433,0.0
2859855.0,-0.0144747,0.0
2859933.0,0.00695992,0.0
2860011.0,-0.01203667,0.0
2860089.0,-0.00599226,0.0
2860167.0,-0.00624622,0.0
2860246.0,-0.01132555,0.0
2860324.0,-0.00629706,0.0
2860402.0,0.00172823,0.0
2860480.0,-0.00731298,0.0
2860558.0,0.00391229,0.0
2860636.0,0.01681363,0.0
2860714.0,0.00569003,0.0
2860792.0,0.014274,0.0
2860870.0,0.00772181,0.0
2860948.0,0.0124455,0.0
2861027.0,0.00482662,0.0
2861105.0,0.00279484,0.0
2861183.0,-0.02067141,0.0
2861261.0,-0.00385895,0.0
2861339.0,0.00533447,0.0
2861417.0,-0.00035431,0.0
2861495.0,0.00091558,0.0
2861573.0,0.00345513,0.0
2861651.0,-0.00258922,0.0
2861730.0,0.01214077,0.0
2861808.0,-0.01498263,0.0
2861886.0,-0.00619546,0.0
2861964.0,0.00949955,0.0
2862042.0,-0.01716669,0.0
2862120.0,0.00497898,0.0
2862198.0,-0.01091915,0.0
2862277.0,0.01031212,0.0
2862355.0,0.00944878,0.0
2862433.0,-0.00609393,0.0
2862511.0,0.01915013,0.0
2862589.0,-0.00020188,0.0
2862667.0,0.00375993,0.0
2862745.0,-0.00629706,0.0
2862823.0,0.00462342,0.0
2862901.0,-0.00375743,0.0
2862980.0,0.00299812,0.0
2863058.0,0.01681363,0.0
2863136.0,-0.00660178,0.0
2863214.0,-0.00421459,0.0
